Site Name,Easement Holder Name,State,Access,Easement Purpose,Easement Holder Type,Year Established
"Wetlands Reserve Program - WRP_Pulaski, AR (05119)",U.S. Natural Resources Conservation Service,AR,XA,ENV,FED,2003
"Grasslands Reserve Program - GRP_Polk, MO (29167)",U.S. Natural Resources Conservation Service,MO,XA,ENV,FED,2007
Farm and Ranch Lands Protection Program - FRPP_Jefferson(54037),Unknown Easement Holder,WV,XA,FARM,UNK,2009
Farm and Ranch Lands Protection Program - FRPP_None,Unknown Easement Holder,TX,XA,FARM,JNT,2012
"Wetlands Reserve Program - WRP_Worcester, MD (24047)",State of Maryland,MD,XA,ENV,STAT,2000
"Grasslands Reserve Program - GRP_Dade, MO (29057)",U.S. Natural Resources Conservation Service,MO,XA,ENV,FED,2007
"Grasslands Reserve Program - GRP_Lancaster, NE (31109)",U.S. Natural Resources Conservation Service,NE,XA,ENV,FED,2006
"Grasslands Reserve Program - GRP_Pettis, MO (29159)",U.S. Natural Resources Conservation Service,MO,XA,ENV,FED,2007
"Wetlands Reserve Program - WRP_Alachua, FL (12001)",U.S. Natural Resources Conservation Service,FL,XA,ENV,FED,2005
"Wetlands Reserve Program - WRP_Elkhart, IN (18039)",U.S. Natural Resources Conservation Service,IN,XA,ENV,FED,1999
"Wetlands Reserve Program - WRP_Chester, PA (42029)",U.S. Natural Resources Conservation Service,PA,XA,ENV,FED,2014
Farm and Ranch Lands Protection Program - FRPP_Adams (42001),U.S. Natural Resources Conservation Service,PA,XA,FARM,FED,2006
"Wetlands Reserve Program - WRP_Hampton, SC (45049)",U.S. Natural Resources Conservation Service,SC,XA,ENV,FED,2005
"Wetlands Reserve Program - WRP_Lake, TN (47095)",U.S. Natural Resources Conservation Service,TN,XA,ENV,FED,2015
"Wetlands Reserve Program - WRP_Rutland, VT (50021)",U.S. Natural Resources Conservation Service,VT,XA,ENV,FED,2011
"Healthy Forests Reserve Program - HFRP_Blair, PA (42013)",U.S. Natural Resources Conservation Service,PA,XA,FOR,FED,2013
"Wetlands Reserve Program - WRP_Baldwin, AL (01003)",U.S. Natural Resources Conservation Service,AL,XA,ENV,FED,2002
Forest Service Easement,U.S. Forest Service,SD,XA,ENV,FED,1995
Forest Service Easement,U.S. Forest Service,SD,XA,ENV,FED,1995
Pine Brook,U.S. Forest Service,CT,XA,ENV,FED,1999
Corrigan,U.S. Forest Service,NH,XA,ENV,FED,1992
Pogmore,U.S. Forest Service,CT,XA,ENV,FED,1997
Pierce Pond,U.S. Forest Service,ME,XA,ENV,JNT,1996
Scrimshaw,U.S. Forest Service,NH,XA,ENV,FED,1991
Nash Stream Forest Natural Area,U.S. Forest Service,NH,XA,ENV,FED,1989
Steady Easement,U.S. Forest Service,NH,XA,ENV,FED,1992
Green Mountain National Forest Easement,U.S. Forest Service,VT,XA,ENV,FED,1989
Roy T. VanVleck,U.S. Forest Service,NH,XA,ENV,FED,1997
Wilfong,U.S. Forest Service,NH,XA,ENV,FED,1992
Virginia Department of Historic Resources Easement,Virginia Department of Historic Resources,VA,RA,HIST,STAT,1998
GETT08-122,U.S. National Park Service,PA,RA,HIST,FED,2010
Badlands,U.S. National Park Service,SD,XA,ENV,FED,1976
Appalachian Trail Corridor,U.S. National Park Service,Massachusetts,XA,ENV,FED,1986
Forest Service Easement,U.S. Forest Service,MS,XA,ENV,FED,2003
Forest Service Easement,U.S. Forest Service,FL,XA,ENV,FED,2012
Forest Service Easement,U.S. Forest Service,VA,XA,OTH,FED,2014
Forest Service Easement,U.S. Forest Service,VA,XA,OTH,FED,1993
Forest Service Easement,U.S. Forest Service,NC,XA,OTH,FED,1979
Forest Service Easement,U.S. Forest Service,NC,XA,OTH,FED,1980
Forest Service Easement,U.S. Forest Service,TN,XA,OTH,FED,1999
Forest Service Easement,U.S. Forest Service,TN,XA,OTH,FED,2001
Forest Service Easement,U.S. Forest Service,TN,XA,OTH,FED,2001
Forest Service Easement,U.S. Forest Service,NC,XA,OTH,FED,2001
Forest Service Easement,U.S. Forest Service,TN,XA,OTH,FED,2001
Forest Service Easement,U.S. Forest Service,NC,XA,OTH,FED,2002
Forest Service Easement,U.S. Forest Service,NH,XA,ENV,FED,1994
Forest Service Easement,U.S. Forest Service,MI,XA,ENV,FED,1981
Forest Service Easement,U.S. Forest Service,MI,XA,ENV,FED,1999
Forest Service Easement,U.S. Forest Service,NH,XA,ENV,FED,1993
Forest Service Easement,U.S. Forest Service,NH,XA,ENV,FED,1997
Forest Service Easement,U.S. Forest Service,NH,XA,ENV,FED,1993
Forest Service Easement,U.S. Forest Service,MI,XA,ENV,FED,2005
Forest Service Easement,U.S. Forest Service,NH,XA,ENV,FED,1993
Forest Service Easement,U.S. Forest Service,NH,XA,ENV,FED,1994
Forest Service Easement,U.S. Forest Service,ME,XA,ENV,FED,1987
Forest Service Easement,U.S. Forest Service,MN,XA,ENV,FED,2001
Forest Service Easement,U.S. Forest Service,NH,XA,ENV,FED,1993
Forest Service Easement,U.S. Forest Service,VT,XA,ENV,FED,1982
Forest Service Easement,U.S. Forest Service,WI,XA,ENV,FED,1986
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1978
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1978
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1977
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1978
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1978
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1977
Forest Service Easement,U.S. Forest Service,MI,XA,OTH,FED,1973
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1977
Forest Service Easement,U.S. Forest Service,WV,XA,OTH,FED,1973
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1978
Forest Service Easement,U.S. Forest Service,WV,XA,OTH,FED,1973
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1978
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1977
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1978
Forest Service Easement,U.S. Forest Service,WV,XA,OTH,FED,1973
Forest Service Easement,U.S. Forest Service,WV,XA,OTH,FED,1973
Forest Service Easement,U.S. Forest Service,WV,XA,OTH,FED,1973
Forest Service Easement,U.S. Forest Service,WV,XA,OTH,FED,1972
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1974
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1979
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1978
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1978
Forest Service Easement,U.S. Forest Service,WV,XA,OTH,FED,1973
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1978
Forest Service Easement,U.S. Forest Service,WI,XA,OTH,FED,2010
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1978
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1977
Forest Service Easement,U.S. Forest Service,WV,XA,OTH,FED,1971
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1977
Forest Service Easement,U.S. Forest Service,MO,XA,OTH,FED,1977
National Park Service Easement,U.S. National Park Service,TX,RA,HIST,FED,1970
National Park Service Easement,U.S. National Park Service,TX,RA,HIST,FED,1983
National Park Service Easement,U.S. National Park Service,MI,XA,ENV,FED,1970
National Park Service Easement,U.S. National Park Service,NE,XA,ENV,FED,1919
National Park Service Easement,U.S. National Park Service,VA,XA,ENV,FED,1935
National Park Service Easement,U.S. National Park Service,NJ,XA,REC,FED,1965
National Park Service Easement,U.S. National Park Service,PA,XA,REC,FED,1965
Aroostook National Wildlife Refuge,U.S. Fish and Wildlife Service,ME,RA,ENV,FED,1998
Bombay Hook National Wildlife Refuge,U.S. Fish and Wildlife Service,DE,RA,ENV,FED,1937
Cape Romain National Wildlife Refuge,U.S. Fish and Wildlife Service,SC,RA,ENV,FED,1930
Cerro Gordo County Waterfowl Production Area,U.S. Fish and Wildlife Service,IA,XA,ENV,FED,1998
Crystal River National Wildlife Refuge,U.S. Fish and Wildlife Service,FL,OA,ENV,FED,1983
Delta National Wildlife Refuge,U.S. Fish and Wildlife Service,LA,RA,ENV,FED,1935
MEAD ORCHARDS,Dutchess County,NY,UK,FARM,LOC,2002
SILVER LEDGE,Dutchess County,NY,UK,FARM,LOC,2003
PULVER FARM,Dutchess County,NY,UK,FARM,LOC,2003
MEAD ORCHARDS II,Dutchess County,NY,UK,FARM,LOC,2010
