acres_easement,acres_owned,founded,homepage,membership,name,num_parcels,num_staff
Acres under Conservation Easement: 812,Acres owned: 812,Founded: 2001,http://www.bangorlandtrust.org,Membership: 398,Bangor Land Trust,Number of Parcels: 3,Number of Staff: 1.00
"Acres under Conservation Easement: 1,874","Acres owned: 1,874",Founded: 1988,http://www.belgradelakes.org,Membership: 1200,Belgrade Regional Conservation Alliance,Number of Parcels: 14,Number of Staff: 3.00
"Acres under Conservation Easement: 3,288","Acres owned: 3,288",Founded: 1985,http://bluehillheritagetrust.org,Membership: 550,Blue Hill Heritage Trust,Number of Parcels: 84,Number of Staff: 4.00
"Acres under Conservation Easement: 1,391","Acres owned: 1,391",Founded: 1980,http://www.bbrlt.org,Membership: 980 households,Boothbay Region Land Trust,Number of Parcels: 13,Number of Staff: 5.00
Acres under Conservation Easement: 4.20,Acres owned: 4.20,Founded: 2006,mailto:ljohns@brewerme.org,,Brewer Land Trust,Number of Parcels: 4,Number of Staff: 0.00
Acres under Conservation Easement: 641.1,Acres owned: 641.1,Founded: 1985,http://www.btlt.org,Membership: 1000,Brunswick-Topsham Land Trust,Number of Parcels: 25 properties,Number of Staff: 3.00
Acres under Conservation Easement: 232,Acres owned: 232,Founded: 1985,http://www.capelandtrust.org,Membership: 600,Cape Elizabeth Land Trust,Number of Parcels: 14,Number of Staff: 2.00
Acres under Conservation Easement: 81,Acres owned: 81,Founded: 1987,http://www.ccltmaine.org,Membership: 250,"Chebeague and Cumberland Land Trust, Inc.",Number of Parcels: 15,Number of Staff: 1.00
Acres under Conservation Easement: ,,Founded: 1962,http://www.chewonki.org,Membership: 12000 alumni,Chewonki Foundation,Number of Parcels: 2,Number of Staff: 70.00
"Acres under Conservation Easement: 4,870","Acres owned: 4,870",Founded: 1986,http://www.coastalmountains.org/,Membership: 1700,Coastal Mountains Land Trust,Number of Parcels: 66,Number of Staff: 5.00
Acres under Conservation Easement: 960,Acres owned: 960,Founded: 1973,http://www.damariscottariver.org,Membership: 1800,Damariscotta River Association,Number of Parcels: 42,Number of Staff: 4.00
,"Acres owned: 55,678",Founded: 2001,http://www.downeastlakes.org,,Downeast Lakes Land Trust,Number of Parcels: 3,Number of Staff: 4.00
"Acres under Conservation Easement: 1,675","Acres owned: 1,675",Founded: 2000,http://www.mainesalmonrivers.org,Membership: 500,Downeast Rivers Land Trust,Number of Parcels: 12,Number of Staff: 5.00
Acres under Conservation Easement: ,,Founded: 1998,http://www.EasternTrail.Org,Membership: 348,Eastern Trail Alliance,Number of Parcels: 1,Number of Staff: 0.00
,Acres owned: 88,Founded: 1995,http://ecotat.org/,Membership: 50,Ecotat Trust,Number of Parcels: 1,Number of Staff: 0.00
Acres under Conservation Easement: 588.19,Acres owned: 588.19,Founded: 1980,http://www.falmouthlandtrust.org,Membership: 300,Falmouth Land Trust,Number of Parcels: 29,Number of Staff: 1.00
,Acres owned: 238,Founded: 1997,mailto:foothillslandconservancy@gmail.com,Membership: 150,Foothills Land Conservancy,Number of Parcels: 1,Number of Staff: 0.00
"Acres under Conservation Easement: 1,808","Acres owned: 1,808",Founded: 1984,http://www.fsmaine.org,Membership: NA,Forest Society of Maine,Number of Parcels: 38,Number of Staff: 8.00
Acres under Conservation Easement: 1458,Acres owned: 1458,Founded: 1990,http://www.FSHT.org,Membership: 200,"Francis Small Heritage Trust, Inc.",Number of Parcels: 7,Number of Staff: 0.00
