ACQ_DATE,ACQ_YEAR,BPL_ID,CALC_AC,CL_UNIQUEI,CONS1_TYPE,CONS2_TYPE,DEPT_ID,DESIGNATIO,ECO_RESERV,EDITOR,FMPROCSS,FMUPDDAT,GAP_STATUS,name,HOLD1_TYPE,HOLD2_NAME,HOLD2_TYPE,IFW_ID,IUCN_STATU,LMF_ID,NOTE_,PARCEL_NAM,PROJECT,PUB_ACCESS,PURPOSE1,PURPOSE2,REVIEW,RPT_AC,geometry,homepage,founded,acres_owned,acres_under_easement,num_staff,membership
,2008,,26.06285469,5235,Fee,,2406,,,Justin Schlawin,copy-duplicates features and INFO files to a new user-specified location,8/26/13,2,Maine Coast Heritage Trust,Private,,,,,,Data provided by Interest1; CAP,Acadia Mountain,Acadia Mountain,"Allowed for general uses, contact owner for details: Certain restrictions may apply - time, activity,",,,,0,"POLYGON ((553991.1909999996 4908318.692600001, 553973.5804000003 4908319.220799999, 554092.0438000001 4908572.458799999, 554156.7114000004 4908557.6218, 554152.341 4908588.987600001, 554154.5115999999 4908596.933800001, 554155.8713999996 4908600.9571, 554194.6583000002 4908610.9759, 554221.9024 4908616.3024, 554243.7253 4908592.1186, 554278.5785999997 4908566.8541, 554327.7573999995 4908531.2052, 554351.0769999996 4908519.8629, 554344.4128 4908506.161599999, 554392.3514 4908498.9506, 554516.1051000003 4908480.3487, 554520.1469999999 4908471.748400001, 554522.2056999998 4908469.263, 554525.2049000002 4908465.6423, 554533.4962999998 4908460.7642, 554554.7483999999 4908455.2303, 554561.2445 4908445.2634, 554569.4051000001 4908423.249700001, 554567.0794000002 4908416.429400001, 554572.0017999997 4908407.8166, 554574.2554000001 4908403.18, 554578.9654999999 4908374.9005, 554573.2847999996 4908374.199200001, 554354.0707 4908347.603, 554343.1529000001 4908346.2491, 554256.2725 4908335.475199999, 554105.1721999999 4908316.6939, 553991.1909999996 4908318.692600001))",http://www.mcht.org,1970,"12,118.32","12,118.32",45,3700
,2008,,0.45781474,5236,Easement,,2514,,,Justin Schlawin,copy-duplicates features and INFO files to a new user-specified location,8/26/13,3,Maine Coast Heritage Trust,Private,,,,,,Data provided by Interest1,Acadia Mountain ROW,Acadia Mountain ROW,Contact landowner for additional information,,,,0,"POLYGON ((554155.8713999996 4908600.9571, 554154.5115999999 4908596.933800001, 554149.8313999996 4908600.4912, 554141.8130000001 4908609.25, 554131.9473999999 4908621.668299999, 554124.1009999998 4908634.6457, 554117.8392000003 4908649.5111, 554111.8795999996 4908664.885399999, 554110.7827000003 4908668.3387, 554107.4031999996 4908680.6505, 554105.5082999999 4908696.5482, 554105.4105000002 4908713.260299999, 554103.9409999996 4908727.4307, 554102.3537999997 4908732.103399999, 554096.7597000003 4908741.757200001, 554090.0055999998 4908748.6844, 554079.6684999997 4908753.804300001, 554073.9751000004 4908755.0755, 554063.0494999997 4908754.4395, 554051.3810999999 4908750.086200001, 554037.1508999998 4908742.502599999, 554028.2869999995 4908738.9716, 554025.6431 4908737.918400001, 553985.0369999995 4908749.146199999, 553973.5665999996 4908755.236400001, 553957.1637000004 4908766.885600001, 553942.3427999998 4908775.469699999, 553929.5438000001 4908776.446799999, 553894.8918000003 4908773.7907, 553884.5637999997 4908775.8739, 553873.4278999995 4908786.2391, 553876.5750000002 4908788.904999999, 553880.2977999998 4908786.2875, 553886.733 4908780.099199999, 553895.1743000001 4908778.396600001, 553929.5431000004 4908781.030999999, 553943.7308999998 4908779.947799999, 553959.6377999997 4908770.7347, 553975.9715999998 4908759.134500001, 553986.7379999999 4908753.418199999, 554025.8742000004 4908742.930600001, 554035.2243999997 4908746.655200001, 554049.4990999997 4908754.262700001, 554062.0966999996 4908758.9626, 554074.3475000001 4908759.6757, 554081.2028999999 4908758.145099999, 554092.7335000001 4908752.433900001, 554100.4293 4908744.540899999, 554106.5358999996 4908734.002800001, 554108.4342999998 4908728.413799999, 554109.9798999997 4908713.51, 554110.0774999997 4908696.832900001, 554111.9013999999 4908681.5308, 554115.8419000003 4908667.2809, 554122.0777000003 4908651.2234, 554128.1842999998 4908636.726299999, 554135.7078 4908624.283, 554145.2923999997 4908612.2184, 554152.9862000002 4908603.814099999, 554155.8713999996 4908600.9571))",http://www.mcht.org,1970,"12,118.32","12,118.32",45,3700
,1997,,81.48312906,5101,Easement,,1727,,,Justin Schlawin,copy-duplicates features and INFO files to a new user-specified location,8/26/13,3,Maine Coast Heritage Trust,Private,,,,,,Data provided by Interest1,Acadian Ridge,Acadian Ridge,Contact landowner for additional information,,,,0,"POLYGON ((557606.9354999997 4915345.2563, 557608.2143000001 4915038.8835, 557575.7472000001 4915044.9091, 557429.7959000003 4915076.3829, 557353.5924000004 4915129.6975, 557221.6996999998 4915092.5747, 557036.1754000001 4914655.922900001, 556854.8175999997 4914681.2378, 556845.3393999999 4914687.2261, 556834.0673000002 4914694.2467, 556823.9337999998 4914700.251399999, 556820.7633999996 4914702.233899999, 556803.1834000004 4914714.251499999, 556790.1990999999 4914722.7466, 556781.8186999997 4914733.240599999, 556779.5432000002 4914738.575099999, 556775.4786 4914747.669199999, 556773.3563999999 4914757.3906, 556880.1063000001 4914784.0965, 556928.5373999998 4914793.5911, 556964.0579000004 4914910.490900001, 556968.6168 4914929.317500001, 557012.2063999996 4915070.927200001, 557040.6941 4915252.351199999, 557043.3236999996 4915267.989800001, 557025.7927999999 4915359.1995, 556983.9112 4915475.370300001, 556959.6424000002 4915591.7212, 556934.1897999998 4915671.7437, 557606.9354999997 4915345.2563))",http://www.mcht.org,1970,"12,118.32","12,118.32",45,3700
,1994,,78.81239645,5083,Easement,,1116,,,Justin Schlawin,copy-duplicates features and INFO files to a new user-specified location,8/26/13,3,Maine Coast Heritage Trust,Private,,,,,,Data provided by Interest1,Acadian Woods I,Acadian Woods I,Contact landowner for additional information,,,,0,"POLYGON ((557511.5676999995 4915647.968900001, 557516.9189999998 4915635.5942, 557606.5625999998 4915360.755899999, 557606.9354999997 4915345.2563, 556934.1897999998 4915671.7437, 556937.1896000002 4915672.2466, 556922.3140000002 4915766.246200001, 556903.8444999997 4915880.9956, 556878.4693 4915930.745100001, 556839.8754000003 4915979.4945, 556799.5941000003 4916035.368799999, 556744.5937999999 4916122.492900001, 556688.0311000003 4916199.991900001, 556671.7496999996 4916224.741699999, 556595.5318999998 4916177.990800001, 556543.3135000002 4916164.7402, 556495.5642999997 4916099.989800001, 556470.7517999997 4916127.739399999, 556483.9704 4916146.739499999, 556510.0635000002 4916200.489700001, 556504.3441000003 4916295.9893, 556504.0625999998 4916319.2393, 556569.5623000003 4916296.7402, 556655.3119999999 4916267.2413, 556698.1868000003 4916252.241900001, 556835.9987000003 4916204.743799999, 557050.8728 4916130.7467, 557247.2158000004 4916062.249399999, 557325.7467 4916036.750399999, 557231.3120999997 4915739.7501, 557506.1234999998 4915650.253799999, 557511.5676999995 4915647.968900001))",http://www.mcht.org,1970,"12,118.32","12,118.32",45,3700
,1999,,1.19358351,4962,Fee,Easement,1801,,,Justin Schlawin,copy-duplicates features and INFO files to a new user-specified location,8/26/13,2,Maine Coast Heritage Trust,Private,Maine Department of Inland Fisheries and Wildlife,Private,,,,MEDIFW shapes replaced by data provided by MCHT,Aldermere Farm,Aldermere Farm,Contact landowner for additional information,,,,0,"POLYGON ((494987.2297 4893215.161699999, 495008.1360999998 4893221.161900001, 495080.5431000004 4893239.662699999, 495084.8868000004 4893225.662799999, 495089.4179999996 4893212.163000001, 495092.7929999996 4893202.6631, 495095.1679999996 4893196.1631, 495097.4178999998 4893189.1632, 495099.5428999998 4893182.1633, 495101.5740999999 4893175.1633, 495103.4490999999 4893168.1634, 495105.2302999999 4893161.1635, 495106.8552999999 4893153.6635, 495108.1677000001 4893146.1636, 494987.2297 4893215.161699999))",http://www.mcht.org,1970,"12,118.32","12,118.32",45,3700
,1999,,19.20341498,5105,Fee,Easement,1801,,,Justin Schlawin,copy-duplicates features and INFO files to a new user-specified location,8/26/13,2,Maine Coast Heritage Trust,Private,Maine Department of Inland Fisheries and Wildlife,Private,,,,MEDIFW shapes replaced by data provided by MCHT,Aldermere Farm,Aldermere Farm,Contact landowner for additional information,,,,0,"POLYGON ((495463.7642999999 4893106.168199999, 495540.4713000003 4893016.998299999, 495513.7536000004 4892983.996400001, 495497.4757000003 4892950.997099999, 495492.3152999999 4892936.6625, 495474.0756999999 4892947.169199999, 495458.5218000002 4892949.3113, 495452.2943000002 4892950.1689, 495355.6127000004 4893005.240800001, 495352.4051000001 4893007.0537, 495152.8572000004 4893120.446599999, 495129.9878000002 4893133.778100001, 495127.6957999999 4893145.0836, 495125.6595000001 4893154.637399999, 495123.2522999998 4893165.2224, 495120.3196999999 4893175.056500001, 495117.1237000003 4893184.932800001, 495114.6994000003 4893195.1634, 495111.1369000003 4893206.1633, 495107.1370000001 4893217.1632, 495103.2933 4893228.663000001, 495097.2933 4893247.662900001, 495093.9808999998 4893259.162799999, 495089.5696 4893277.549000001, 495104.9145 4893278.4242, 495106.1061000004 4893275.162799999, 495116.8154999996 4893279.1248, 495269.2922999999 4893288.4221, 495332.9715999998 4893253.4902, 495341.6582000004 4893248.8989, 495393.0154999997 4893188.5042, 495426.5333000002 4893148.933499999, 495435.5384999998 4893138.640699999, 495439.4517000001 4893134.6677, 495460.4205 4893110.168099999, 495463.7642999999 4893106.168199999))",http://www.mcht.org,1970,"12,118.32","12,118.32",45,3700
,1999,,27.97375246,5106,Fee,Easement,1801,,,Justin Schlawin,copy-duplicates features and INFO files to a new user-specified location,8/26/13,2,Maine Coast Heritage Trust,Private,Maine Department of Inland Fisheries and Wildlife,Private,,,,MEDIFW shapes replaced by data provided by MCHT - NHD water lines fitted 6/9/16 LH,Aldermere Farm,Aldermere Farm,Contact landowner for additional information,,,,0,"POLYGON ((494856.9431999996 4892613.1636, 494864.2558000004 4892611.163699999, 494890.5873999996 4892881.9914, 494890.5897000004 4892882.014599999, 494898.4472000003 4892883.4888, 494905.7867999999 4892887.4965, 494913.0964000002 4892887.0021, 494943.4407000002 4892875.493899999, 494953.7240000004 4892868.999399999, 494970.7251000004 4892861.5001, 494982.8781000003 4892861.498199999, 495008.5996000003 4892873.000499999, 495026.4404999996 4892891.002699999, 495034.5058000004 4892903.488500001, 495038.8444999997 4892912.992900001, 495040.6125999996 4892923.7436, 495044.1193000004 4892941.7731, 495043.5039999997 4892949.533399999, 495043.7823000001 4892974.989399999, 495029.4688999997 4893006.492699999, 495018.6590999998 4893020.992000001, 494995.1599000003 4893044.4904, 494964.3810000001 4893071.993000001, 494950.5350000001 4893086.998299999, 494909.4064999996 4893116.997199999, 494884.6934000002 4893140.4969, 494882.3525 4893151.4948, 494874.6306999996 4893169.4944, 494871.5245000003 4893183.154300001, 494954.9482000005 4893217.6613, 494955.9671 4893232.4526, 494967.2567999996 4893226.2469, 494987.2297 4893215.161699999, 495108.1677000001 4893146.1636, 495129.9878000002 4893133.778100001, 495133.074 4893111.164100001, 495136.2276999997 4893080.9772, 495138.7923999997 4893051.6645, 495140.8859000001 4893022.1647, 495142.4482000005 4892992.164899999, 495157.4161999999 4892861.6658, 495127.0111999996 4892765.000399999, 495118.7588 4892744.165999999, 495096.4145999998 4892702.665899999, 495081.3687000005 4892683.262800001, 495067.1640999997 4892665.1658, 495031.9135999996 4892633.6656, 494991.7567999996 4892609.165200001, 494980.9022000004 4892604.866599999, 494971.3470000001 4892601.407299999, 494965.2470000004 4892599.3609, 494953.1002000002 4892595.664799999, 494904.0372000001 4892583.1643, 494886.1933000004 4892585.664100001, 494867.5055999998 4892588.163799999, 494848.8492999999 4892591.6636, 494856.9431999996 4892613.1636))",http://www.mcht.org,1970,"12,118.32","12,118.32",45,3700
,1999,,20.54984916,5107,Fee,Easement,1801,,,Justin Schlawin,copy-duplicates features and INFO files to a new user-specified location,8/26/13,2,Maine Coast Heritage Trust,Private,Maine Department of Inland Fisheries and Wildlife,Private,,,,MEDIFW shapes replaced by data provided by MCHT - NHD water lines fitted 6/9/16 LH,Aldermere Farm,Aldermere Farm,Contact landowner for additional information,,,,0,"POLYGON ((494511.2249999996 4893124.156400001, 494636.2857999997 4893174.5056, 494652.1913999999 4893160.0011, 494659.3843 4893147.495999999, 494667.6624999996 4893126.4968, 494676.7230000002 4893117.4926, 494700.9419 4893102.9893, 494737.3508000001 4893088.498500001, 494745.8175999997 4893082.997400001, 494754.2549000001 4893073.993799999, 494762.6312999995 4893061.9988, 494766.7839000002 4893051.503, 494766.6623999998 4893039.4925, 494769.6638000002 4893034.9954, 494787.7877000002 4893019.993799999, 494805.7499000002 4892988.990599999, 494810.4708000002 4892975.9915, 494811.3948999997 4892974.3752, 494801.4452 4892974.660800001, 494791.3513000002 4892970.660700001, 494779.5387000004 4892964.160599999, 494759.6009 4892951.660399999, 494746.3195000002 4892940.6603, 494717.8503999999 4892922.6601, 494692.6312999995 4892903.6599, 494671.1310000001 4892886.659700001, 494644.9118999997 4892870.159499999, 494625.1617000001 4892858.659299999, 494604.6613999996 4892844.1592, 494587.8799000001 4892831.659, 494568.0983999996 4892821.6589, 494545.7544 4892812.658600001, 494535.0668000001 4892808.658500001, 494525.6594000002 4892805.276000001, 494521.1604000004 4892803.658399999, 494488.4101 4892798.158, 494476.8101000004 4892796.908199999, 494469.1914999997 4892796.1548, 494448.7227999996 4892877.657099999, 494470.7543000001 4892893.657199999, 494436.7232999997 4892963.156400001, 494451.6297000004 4892977.656500001, 494476.1926999995 4893007.6566, 494481.1306999996 4893079.156300001, 494496.4567 4893132.383199999, 494497.9749999996 4893137.656099999, 494500.2326999996 4893135.355900001, 494511.2249999996 4893124.156400001))",http://www.mcht.org,1970,"12,118.32","12,118.32",45,3700
,1999,,6.31318594,5108,Fee,Easement,1801,,,Justin Schlawin,copy-duplicates features and INFO files to a new user-specified location,8/26/13,2,Maine Coast Heritage Trust,Private,Maine Department of Inland Fisheries and Wildlife,Private,,,,MEDIFW shapes replaced by data provided by MCHT,Aldermere Farm,Aldermere Farm,Contact landowner for additional information,,,,0,"POLYGON ((495312.6052000001 4892888.6675, 495330.1677000001 4892863.6679, 495327.2614000002 4892854.6679, 495297.0257000001 4892827.8135, 495282.2608000003 4892831.1675, 495256.3233000003 4892856.666999999, 495231.9168999996 4892865.6667, 495176.5414000005 4892862.165999999, 495159.0111999996 4893045.664799999, 495158.9715 4893062.2346, 495158.9489000002 4893071.6646, 495204.824 4893028.6654, 495292.3870000001 4892993.6667, 495314.3558 4892973.167099999, 495327.2933 4892956.667300001, 495336.3243000004 4892913.6677, 495312.6052000001 4892888.6675))",http://www.mcht.org,1970,"12,118.32","12,118.32",45,3700
,1999,,20.42169443,5109,Fee,Easement,1801,,,Justin Schlawin,copy-duplicates features and INFO files to a new user-specified location,8/26/13,2,Maine Coast Heritage Trust,Private,Maine Department of Inland Fisheries and Wildlife,Private,,,,MEDIFW shapes replaced by data provided by MCHT - NHD water lines fitted 6/9/16 LH,Aldermere Farm,Aldermere Farm,Contact landowner for additional information,,,,0,"POLYGON ((494811.3948999997 4892974.3752, 494816.4722999996 4892965.494200001, 494817.6004999997 4892956.9926, 494816.3178000003 4892951.9954, 494812.6338999998 4892948.999399999, 494812.9732999997 4892946.9924, 494814.9417000003 4892936.490900001, 494825.7556999996 4892920.999, 494845.6573000001 4892902.989700001, 494852.2843000004 4892895.0022, 494858.3180999998 4892891.494999999, 494874.7527999999 4892888.994200001, 494883.2203000002 4892883.9893, 494890.5897000004 4892882.014599999, 494890.5873999996 4892881.9914, 494864.2558000004 4892611.163699999, 494856.9431999996 4892613.1636, 494844.4743999997 4892615.6634, 494837.7867000001 4892593.6634, 494831.2241000002 4892594.6634, 494814.6303000003 4892598.1631, 494827.7868999997 4892639.6631, 494813.8888999997 4892642.7776, 494809.9016000004 4892643.741699999, 494813.6305999998 4892655.662799999, 494783.8179000001 4892662.1624, 494782.4144000001 4892654.4724, 494781.5366000002 4892649.6624, 494769.0674000001 4892606.6625, 494761.1299000001 4892607.1624, 494771.4426999995 4892649.6623, 494765.5779999997 4892651.314300001, 494762.5676999995 4892652.1622, 494751.9738999996 4892655.662, 494753.8488999996 4892661.662, 494727.7549999999 4892669.161699999, 494731.3488999996 4892679.161699999, 494684.3485000003 4892682.6611, 494695.8799999999 4892702.6611, 494645.3485000003 4892729.6603, 494639.3003000002 4892720.039999999, 494629.3169 4892704.1603, 494606.4413999999 4892659.1603, 494603.1518000001 4892659.9935, 494587.1106000002 4892663.8166, 494583.5037000002 4892654.66, 494580.6331000002 4892655.4464, 494565.2536000004 4892659.6598, 494555.7845999999 4892635.1598, 494513.4484999999 4892636.0363, 494501.5436000004 4892636.731899999, 494508.4408 4892691.6589, 494502.7220000001 4892692.6588, 494495.1595000001 4892700.1587, 494507.9721999997 4892712.1588, 494541.3163999999 4892743.659, 494520.1288999999 4892766.658600001, 494539.4729000004 4892784.6587, 494545.7544 4892812.658600001, 494568.0983999996 4892821.6589, 494587.8799000001 4892831.659, 494604.6613999996 4892844.1592, 494625.1617000001 4892858.659299999, 494644.9118999997 4892870.159499999, 494671.1310000001 4892886.659700001, 494692.6312999995 4892903.6599, 494717.8503999999 4892922.6601, 494746.3195000002 4892940.6603, 494759.6009 4892951.660399999, 494779.5387000004 4892964.160599999, 494791.3513000002 4892970.660700001, 494801.4452 4892974.660800001, 494811.3948999997 4892974.3752))",http://www.mcht.org,1970,"12,118.32","12,118.32",45,3700
