acres_easement,acres_owned,founded,homepage,membership,name,num_parcels,num_staff
812,812,Founded: 2001,http://www.bangorlandtrust.org,Membership: 398,Bangor Land Trust,Number of Parcels: 3,Number of Staff: 1.00
1874,1874,Founded: 1988,http://www.belgradelakes.org,Membership: 1200,Belgrade Regional Conservation Alliance,Number of Parcels: 14,Number of Staff: 3.00
3288,3288,Founded: 1985,http://bluehillheritagetrust.org,Membership: 550,Blue Hill Heritage Trust,Number of Parcels: 84,Number of Staff: 4.00
1391,1391,Founded: 1980,http://www.bbrlt.org,Membership: 980 households,Boothbay Region Land Trust,Number of Parcels: 13,Number of Staff: 5.00
4,4,Founded: 2006,mailto:ljohns@brewerme.org,,Brewer Land Trust,Number of Parcels: 4,Number of Staff: 0.00
641,641,Founded: 1985,http://www.btlt.org,Membership: 1000,Brunswick-Topsham Land Trust,Number of Parcels: 25 properties,Number of Staff: 3.00
232,232,Founded: 1985,http://www.capelandtrust.org,Membership: 600,Cape Elizabeth Land Trust,Number of Parcels: 14,Number of Staff: 2.00
81,81,Founded: 1987,http://www.ccltmaine.org,Membership: 250,"Chebeague and Cumberland Land Trust, Inc.",Number of Parcels: 15,Number of Staff: 1.00
0,0,Founded: 1962,http://www.chewonki.org,Membership: 12000 alumni,Chewonki Foundation,Number of Parcels: 2,Number of Staff: 70.00
4870,4870,Founded: 1986,http://www.coastalmountains.org/,Membership: 1700,Coastal Mountains Land Trust,Number of Parcels: 66,Number of Staff: 5.00
960,960,Founded: 1973,http://www.damariscottariver.org,Membership: 1800,Damariscotta River Association,Number of Parcels: 42,Number of Staff: 4.00
0,55678,Founded: 2001,http://www.downeastlakes.org,,Downeast Lakes Land Trust,Number of Parcels: 3,Number of Staff: 4.00
1675,1675,Founded: 2000,http://www.mainesalmonrivers.org,Membership: 500,Downeast Rivers Land Trust,Number of Parcels: 12,Number of Staff: 5.00
0,0,Founded: 1998,http://www.EasternTrail.Org,Membership: 348,Eastern Trail Alliance,Number of Parcels: 1,Number of Staff: 0.00
0,88,Founded: 1995,http://ecotat.org/,Membership: 50,Ecotat Trust,Number of Parcels: 1,Number of Staff: 0.00
588,588,Founded: 1980,http://www.falmouthlandtrust.org,Membership: 300,Falmouth Land Trust,Number of Parcels: 29,Number of Staff: 1.00
0,238,Founded: 1997,mailto:foothillslandconservancy@gmail.com,Membership: 150,Foothills Land Conservancy,Number of Parcels: 1,Number of Staff: 0.00
1808,1808,Founded: 1984,http://www.fsmaine.org,Membership: NA,Forest Society of Maine,Number of Parcels: 38,Number of Staff: 8.00
1458,1458,Founded: 1990,http://www.FSHT.org,Membership: 200,"Francis Small Heritage Trust, Inc.",Number of Parcels: 7,Number of Staff: 0.00
443,443,Founded: 1977,http://www.freeportconservationtrust.org,Membership: 250,Freeport Conservation Trust,Number of Parcels: 29,Number of Staff: 1.00
3545,3545,Founded: 1987,http://www.frenchmanbay.org,Membership: 866,Frenchman Bay Conservancy,Number of Parcels: 30,Number of Staff: 3.00
0,0,,http://friendsofsearsisland.org/,,Friends of Sears Island,,
10,10,Founded: 1992,http://home.maine.rr.com/gorhamtrails/,Membership: 142,"Gorham Trails, Inc.",Number of Parcels: 12,Number of Staff: 0.00
0,4,Founded: 2006,mailto:grtdia@aol.com w/GDILP in subject line,,Great Diamond Island Land Preserve,Number of Parcels: 2,Number of Staff: 0.00
4595,4595,Founded: 1993,http://www.greatpondtrust.org,Membership: 400,Great Pond Mountain Conservation Trust,Number of Parcels: 2,Number of Staff: 2.00
382,382,Founded: 1983,http://www.hhltmaine.org,Membership: 600,Harpswell Heritage Land Trust,Number of Parcels: 23,Number of Staff: 2.00
0,0,Founded: 2004,mailto:johnbryant901@gmail.com,Membership: 15,Holden Land Trust,Number of Parcels: 1,Number of Staff: 0.00
483,483,Founded: 1987,http://www.islandheritagetrust.org,Membership: 650,Island Heritage Trust,Number of Parcels: 29,Number of Staff: 2.00
257,257,Founded: 1985,http://www.islesboroislandstrust.org,Membership: 300,Islesboro Islands Trust,Number of Parcels: 36,Number of Staff: 3.00
1196,1196,Founded: 1989,http://www.kennebecestuary.org,Membership: 200,Kennebec Estuary Land Trust ,Number of Parcels: 24,Number of Staff: 6.00
3093,3093,Founded: 1988,http://www.tklt.org,Membership: 1005,Kennebec Land Trust,Number of Parcels: 28,Number of Staff: 3.00
1468,1468,Founded: 1972,http://www.kennebunklandtrust.org,Membership: 300,Kennebunk Land Trust,Number of Parcels: 12,Number of Staff: 2.00
2256,2256,Founded: 1973,http://www.kporttrust.org,Membership: 1000,Kennebunkport Conservation Trust,Number of Parcels: 9,Number of Staff: 3.00
0,0,Founded: 1992,http://landmarkheritagetrust.org/index.php/about/,Membership: 48,Landmark Heritage Trust,Number of Parcels: 5,Number of Staff: 0.00
4034,4034,Founded: 1987,http://www.lelt.org,Membership: 700,Loon Echo Land Trust,Number of Parcels: 20,Number of Staff: 5.00
2934,2934,Founded: 1843,http://www.maineaudubon.org,"Membership: 15,000",Maine Audubon,Number of Parcels: 2,Number of Staff: 22.00
12118,12118,Founded: 1970,http://www.mcht.org,Membership: 3700,Maine Coast Heritage Trust,Number of Parcels: 281,Number of Staff: 45.00
2884,2884,Founded: 1999,http://www.mainefarmlandtrust.org,Membership: 5300,Maine Farmland Trust,Number of Parcels: 128,Number of Staff: 30.00
0,0,Founded: 1988,http://mita.org/,"Membership: 4,000",Maine Island Trail Association,,Number of Staff: 8.00
1960,1960,Founded: 1989,http://www.mwwt.org/,Membership: 500,Maine Wilderness Watershed Trust,Number of Parcels: 7,Number of Staff: 0.00
4000,4000,Founded: 1975,http://www.swoam.org,Membership: 2800,Maine Woodland Owners,Number of Parcels: 13,Number of Staff: 3.00
1390,1390,Founded: 1991,http://www.medomakvalley.org,Membership: 350,Medomak Valley Land Trust,Number of Parcels: 36,Number of Staff: 2.00
2500,2500,Founded: 2016,http://www.midcoastconservancy.org,"Membership: 1,600",Midcoast Conservancy,Number of Parcels: 50,Number of Staff: 9.00
0,480,Founded: 1954,http://www.monheganassociates.org/,Membership: 400,Monhegan Associates,Number of Parcels: 1,Number of Staff: 0.00
0,0,Founded: 1996,mailto:geofull@nbnet.nb.ca,,New Brunswick Community Land Trust,,Number of Staff: 0.00
27147,27147,Founded: 1944,http://www.newenglandforestry.org,Membership: 700,"New England Forestry Foundation, Inc.",Number of Parcels: 145,Number of Staff: 15.00
3680,3680,Founded: 2002,http://www.newildernesstrust.org,Membership: 950,Northeast Wilderness Trust,Number of Parcels: 11,Number of Staff: 3.00
632,632,Founded: 1986,http://www.oronolandtrust.org/,Membership: 230,Orono Land Trust,Number of Parcels: 9,Number of Staff: 0.00
433,433,Founded: 1966,http://www.pemaquidwatershed.org,Membership: 1070,Pemaquid Watershed Association,Number of Parcels: 15,Number of Staff: 2.00
516,516,Founded: 1974,http://www.phippsburglandtrust.org,Membership: 210,Phippsburg Land Trust,Number of Parcels: 8,Number of Staff: 0.00
0,2555,Founded: 1998,http://www.pleasant-river.org,Membership: PRWF is not a membership organization,Pleasant River Wildlife Foundation,Number of Parcels: 34,Number of Staff: 0.00
367,367,Founded: 1986,http://www.prlt.org,Membership: 300,Presumpscot Regional Land Trust ,Number of Parcels: 13,Number of Staff: 2.00
