name,homepage,founded,acres_owned,acres_under_easement,num_parcels,num_staff,membership
Bangor Land Trust,http://www.bangorlandtrust.org,2001,812,812,3,1,398
Belgrade Regional Conservation Alliance,http://www.belgradelakes.org,1988,"1,874","1,874",14,3,1200
Blue Hill Heritage Trust,http://bluehillheritagetrust.org,1985,"3,288","3,288",84,4,550
Boothbay Region Land Trust,http://www.bbrlt.org,1980,"1,391","1,391",13,5, 980 households
Brewer Land Trust,mailto:ljohns@brewerme.org,2006,4.2,4.2,4,0,
Brunswick-Topsham Land Trust,http://www.btlt.org,1985,641.1,641.1, 25 properties,3,1000
Cape Elizabeth Land Trust,http://www.capelandtrust.org,1985,232,232,14,2,600
"Chebeague and Cumberland Land Trust, Inc.",http://www.ccltmaine.org,1987,81,81,15,1,250
Chewonki Foundation,http://www.chewonki.org,1962,, ,2,70, 12000 alumni
Coastal Mountains Land Trust,http://www.coastalmountains.org/,1986,"4,870","4,870",66,5,1700
Damariscotta River Association,http://www.damariscottariver.org,1973,960,960,42,4,1800
Downeast Lakes Land Trust,http://www.downeastlakes.org,2001,"55,678",,3,4,
Downeast Rivers Land Trust,http://www.mainesalmonrivers.org,2000,"1,675","1,675",12,5,500
Eastern Trail Alliance,http://www.EasternTrail.Org,1998,, ,1,0,348
Ecotat Trust,http://ecotat.org/,1995,88,,1,0,50
Falmouth Land Trust,http://www.falmouthlandtrust.org,1980,588.19,588.19,29,1,300
Foothills Land Conservancy,mailto:foothillslandconservancy@gmail.com,1997,238,,1,0,150
Forest Society of Maine,http://www.fsmaine.org,1984,"1,808","1,808",38,8, NA
"Francis Small Heritage Trust, Inc.",http://www.FSHT.org,1990,1458,1458,7,0,200
Freeport Conservation Trust,http://www.freeportconservationtrust.org,1977,443,443,29,1,250
Frenchman Bay Conservancy,http://www.frenchmanbay.org,1987,3545,3545,30,3,866
Friends of Sears Island,http://friendsofsearsisland.org/,,,,,,
"Gorham Trails, Inc.",http://home.maine.rr.com/gorhamtrails/,1992,10,10,12,0,142
Great Diamond Island Land Preserve,mailto:grtdia@aol.com w/GDILP in subject line,2006,4,,2,0,
Great Pond Mountain Conservation Trust,http://www.greatpondtrust.org,1993,"4,595","4,595",2,2,400
Harpswell Heritage Land Trust,http://www.hhltmaine.org,1983,382,382,23,2,600
Holden Land Trust,mailto:johnbryant901@gmail.com,2004,, ,1,0,15
Island Heritage Trust,http://www.islandheritagetrust.org,1987,482.5,482.5,29,2,650
Islesboro Islands Trust,http://www.islesboroislandstrust.org,1985,257.41,257.41,36,3,300
Kennebec Estuary Land Trust ,http://www.kennebecestuary.org,1989,"1,196","1,196",24,6,200
Kennebec Land Trust,http://www.tklt.org,1988,"3,093","3,093",28,3,1005
Kennebunk Land Trust,http://www.kennebunklandtrust.org,1972,"1,468","1,468",12,2,300
Kennebunkport Conservation Trust,http://www.kporttrust.org,1973,"2,256","2,256",9,3,1000
Landmark Heritage Trust,http://landmarkheritagetrust.org/index.php/about/,1992,,0,5,0,48
Loon Echo Land Trust,http://www.lelt.org,1987,"4,034","4,034",20,5,700
Maine Audubon,http://www.maineaudubon.org,1843,2934,2934,2,22,"15,000"
Maine Coast Heritage Trust,http://www.mcht.org,1970,"12,118.32","12,118.32",281,45,3700
Maine Farmland Trust,http://www.mainefarmlandtrust.org,1999,"2,883.50","2,883.50",128,30,5300
Maine Island Trail Association,http://mita.org/,1988,,,,8,"4,000"
Maine Wilderness Watershed Trust,http://www.mwwt.org/,1989,"1,960","1,960",7,0,500
Maine Woodland Owners,http://www.swoam.org,1975,4000,4000,13,3,2800
Medomak Valley Land Trust,http://www.medomakvalley.org,1991,"1,390","1,390",36,2,350
Midcoast Conservancy,http://www.midcoastconservancy.org,2016,"2,500","2,500",50,9,"1,600"
Monhegan Associates,http://www.monheganassociates.org/,1954,480,,1,0,400
New Brunswick Community Land Trust,mailto:geofull@nbnet.nb.ca,1996,,,,0,
"New England Forestry Foundation, Inc.",http://www.newenglandforestry.org,1944,"27,147","27,147",145,15,700
Northeast Wilderness Trust,http://www.newildernesstrust.org,2002,"3,680","3,680",11,3,950
Orono Land Trust,http://www.oronolandtrust.org/,1986,632,632,9,0,230
Pemaquid Watershed Association,http://www.pemaquidwatershed.org,1966,433,433,15,2,1070
Phippsburg Land Trust,http://www.phippsburglandtrust.org,1974,515.8,515.8,8,0,210
Pleasant River Wildlife Foundation,http://www.pleasant-river.org,1998,"2,555",,34,0, PRWF is not a membership organization
Presumpscot Regional Land Trust ,http://www.prlt.org,1986,367,367,13,2,300
Rangeley Lakes Heritage Trust,http://www.rlht.org,1991,3994,3994,13,4,1300
Saco Valley Land Trust,http://www.sacovalleylandtrust.org/,1990,545,545,4,0,125
Scarborough Land Trust,http://www.scarboroughlandtrust.org,1977,"1,197","1,197",6,3,400
Somerset Woods Trustees,http://www.somersetwoodstrustees.org,1927,933,933,8,1,11
Southern Maine Conservation Collaborative,http://www.southernmaineconservation.org/,2012,,,,2,
Southern Maine Wetlands Conservancy,mailto:mainewetlands@mac.com,1998,504,,2,1,
The Nature Conservancy in Maine,http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/maine/index.htm,1956,"302,813","302,813",54,37,"11,000"
The Nature Trust of New Brunswick,mailto:naturetrust@ntnb.org,1987,,,,0,
The Trust for Public Land,http://www.tpl.org/maine,1972,,,,0,0
Three Rivers Land Trust,http://www.3rlt.org,2000,511.71,511.71,14,1,135
Upper Saco Valley Land Trust,http://www.usvlt.org,2000,537,537,43,2,650
Wells National Estuarine Research Reserve & Laudholm Trust,http://www.wellsreserve.org,1982,,,,20,2500
Western Foothills Land Trust,http://www.wfltmaine.org,1987,"2,019.50","2,019.50",30,1,250
Woodie Wheaton Land Trust,http://www.woodiewheaton.org/,1994,11,11,1,1,530
"York Land Trust, Inc.",http://www.yorklandtrust.org,1986,"1,440.30","1,440.30",29,4,750
