acres_easement,acres_owned,homepage,membership,name,num_parcels,num_staff
"1,440.30","1,440.30",http://www.androscogginlandtrust.org,750,Androscoggin Land Trust,29,4
"1,440.30","1,440.30",http://www.bangorlandtrust.org,750,Bangor Land Trust,29,4
"1,440.30","1,440.30",http://www.belgradelakes.org,750,Belgrade Regional Conservation Alliance,29,4
"1,440.30","1,440.30",mailto:gbrich1@verizon.net,750,Biddeford Pool Land Trust,29,4
"1,440.30","1,440.30",http://www.bpws.org,750,Blandings Park Wildlife Sanctuary,29,4
"1,440.30","1,440.30",http://bluehillheritagetrust.org,750,Blue Hill Heritage Trust,29,4
"1,440.30","1,440.30",http://www.bbrlt.org,750,Boothbay Region Land Trust,29,4
"1,440.30","1,440.30",mailto:ljohns@brewerme.org,750,Brewer Land Trust,29,4
"1,440.30","1,440.30",http://www.btlt.org,750,Brunswick-Topsham Land Trust,29,4
"1,440.30","1,440.30",http://www.capelandtrust.org,750,Cape Elizabeth Land Trust,29,4
"1,440.30","1,440.30",http://www.ccltmaine.org,750,"Chebeague and Cumberland Land Trust, Inc.",29,4
"1,440.30","1,440.30",http://www.chewonki.org,750,Chewonki Foundation,29,4
"1,440.30","1,440.30",http://www.coastalmountains.org/,750,Coastal Mountains Land Trust,29,4
"1,440.30","1,440.30",mailto:judyadelman@maine.rr.com,750,Crabtree Neck Land Trust,29,4
"1,440.30","1,440.30",http://www.damariscottariver.org,750,Damariscotta River Association,29,4
"1,440.30","1,440.30",http://www.downeastcoastalconservancy.org,750,Downeast Coastal Conservancy,29,4
"1,440.30","1,440.30",http://www.downeastlakes.org,750,Downeast Lakes Land Trust,29,4
"1,440.30","1,440.30",http://www.mainesalmonrivers.org,750,Downeast Rivers Land Trust,29,4
"1,440.30","1,440.30",http://www.EasternTrail.Org,750,Eastern Trail Alliance,29,4
"1,440.30","1,440.30",http://ecotat.org/,750,Ecotat Trust,29,4
"1,440.30","1,440.30",http://www.falmouthlandtrust.org,750,Falmouth Land Trust,29,4
"1,440.30","1,440.30",mailto:foothillslandconservancy@gmail.com,750,Foothills Land Conservancy,29,4
"1,440.30","1,440.30",http://www.fsmaine.org,750,Forest Society of Maine,29,4
"1,440.30","1,440.30",http://www.FSHT.org,750,"Francis Small Heritage Trust, Inc.",29,4
"1,440.30","1,440.30",http://www.freeportconservationtrust.org,750,Freeport Conservation Trust,29,4
"1,440.30","1,440.30",http://www.frenchmanbay.org,750,Frenchman Bay Conservancy,29,4
"1,440.30","1,440.30",http://www.friendsofmerrymeetingbay.org/fombnew/index.htm,750,Friends of Merrymeeting Bay,29,4
"1,440.30","1,440.30",http://friendsofsearsisland.org/,750,Friends of Sears Island,29,4
"1,440.30","1,440.30",http://fowpa.org,750,"Friends of Wilson Pond Area, Inc.",29,4
"1,440.30","1,440.30",http://www.georgesriver.org,750,Georges River Land Trust,29,4
"1,440.30","1,440.30",http://home.maine.rr.com/gorhamtrails/,750,"Gorham Trails, Inc.",29,4
"1,440.30","1,440.30",mailto:grtdia@aol.com w/GDILP in subject line,750,Great Diamond Island Land Preserve,29,4
"1,440.30","1,440.30",http://www.greatpondtrust.org,750,Great Pond Mountain Conservation Trust,29,4
"1,440.30","1,440.30",http://www.gwrlt.org,750,Great Works Regional Land Trust,29,4
"1,440.30","1,440.30",http://www.gllt.org/,750,Greater Lovell Land Trust,29,4
"1,440.30","1,440.30",http://www.hhltmaine.org,750,Harpswell Heritage Land Trust,29,4
"1,440.30","1,440.30",mailto:johnbryant901@gmail.com,750,Holden Land Trust,29,4
"1,440.30","1,440.30",http://www.islandheritagetrust.org,750,Island Heritage Trust,29,4
"1,440.30","1,440.30",http://www.islesboroislandstrust.org,750,Islesboro Islands Trust,29,4
"1,440.30","1,440.30",http://www.kennebecestuary.org,750,Kennebec Estuary Land Trust ,29,4
"1,440.30","1,440.30",http://www.tklt.org,750,Kennebec Land Trust,29,4
"1,440.30","1,440.30",http://www.kennebunklandtrust.org,750,Kennebunk Land Trust,29,4
"1,440.30","1,440.30",http://www.kporttrust.org,750,Kennebunkport Conservation Trust,29,4
"1,440.30","1,440.30",http://www.kitterylandtrust.org/,750,Kittery Land Trust,29,4
"1,440.30","1,440.30",http://landmarkheritagetrust.org/index.php/about/,750,Landmark Heritage Trust,29,4
"1,440.30","1,440.30",http://www.lelt.org,750,Loon Echo Land Trust,29,4
"1,440.30","1,440.30",http://www.mahoosuc.org,750,Mahoosuc Land Trust,29,4
"1,440.30","1,440.30",http://www.matlt.org,750,Maine Appalachian Trail Land Trust,29,4
"1,440.30","1,440.30",http://www.maineaudubon.org,750,Maine Audubon,29,4
"1,440.30","1,440.30",http://www.mcht.org,750,Maine Coast Heritage Trust,29,4
"1,440.30","1,440.30",http://www.mainefarmlandtrust.org,750,Maine Farmland Trust,29,4
"1,440.30","1,440.30",http://www.mainehuts.org,750,Maine Huts and Trails,29,4
"1,440.30","1,440.30",http://mita.org/,750,Maine Island Trail Association,29,4
"1,440.30","1,440.30",http://www.mwwt.org/,750,Maine Wilderness Watershed Trust,29,4
"1,440.30","1,440.30",http://www.swoam.org,750,Maine Woodland Owners,29,4
"1,440.30","1,440.30",http://www.medomakvalley.org,750,Medomak Valley Land Trust,29,4
"1,440.30","1,440.30",http://www.midcoastconservancy.org,750,Midcoast Conservancy,29,4
"1,440.30","1,440.30",http://www.monheganassociates.org/,750,Monhegan Associates,29,4
"1,440.30","1,440.30",http://www.mta2c.org,750,Mt. Agamenticus to the Sea Conservation Initiative,29,4
"1,440.30","1,440.30",mailto:geofull@nbnet.nb.ca,750,New Brunswick Community Land Trust,29,4
"1,440.30","1,440.30",http://www.newenglandforestry.org,750,"New England Forestry Foundation, Inc.",29,4
"1,440.30","1,440.30",www.northhavenconservation.org,750,North Haven Conservation Partners,29,4
"1,440.30","1,440.30",http://www.newildernesstrust.org,750,Northeast Wilderness Trust,29,4
"1,440.30","1,440.30",http://www.oceansideconservationtrust.org/,750,Oceanside Conservation Trust of Casco Bay,29,4
"1,440.30","1,440.30",http://www.oronolandtrust.org/,750,Orono Land Trust,29,4
"1,440.30","1,440.30",http://www.preservepeaks.org,750,Peaks Island Land Preserve,29,4
"1,440.30","1,440.30",http://www.pemaquidwatershed.org,750,Pemaquid Watershed Association,29,4
"1,440.30","1,440.30",http://www.phippsburglandtrust.org,750,Phippsburg Land Trust,29,4
"1,440.30","1,440.30",http://www.pleasant-river.org,750,Pleasant River Wildlife Foundation,29,4
"1,440.30","1,440.30",http://www.trails.org,750,Portland Trails,29,4
"1,440.30","1,440.30",http://www.prlt.org,750,Presumpscot Regional Land Trust ,29,4
"1,440.30","1,440.30",http://www.rlht.org,750,Rangeley Lakes Heritage Trust,29,4
"1,440.30","1,440.30",http://www.rrct.org,750,Royal River Conservation Trust,29,4
"1,440.30","1,440.30",http://www.sacobaytrails.org,750,Saco Bay Trails,29,4
"1,440.30","1,440.30",http://www.sacovalleylandtrust.org/,750,Saco Valley Land Trust,29,4
"1,440.30","1,440.30",mailto:drbud1@metrocast.net,750,Sanford-Springvale Mousam Way Land Trust,29,4
"1,440.30","1,440.30",http://www.scarboroughlandtrust.org,750,Scarborough Land Trust,29,4
"1,440.30","1,440.30",http://sebasticookrlt.org,750,Sebasticook Regional Land Trust ,29,4
"1,440.30","1,440.30",http://www.somersetwoodstrustees.org,750,Somerset Woods Trustees,29,4
"1,440.30","1,440.30",http://www.southportlandlandtrust.org,750,South Portland Land Trust,29,4
"1,440.30","1,440.30",http://www.southernmaineconservation.org/,750,Southern Maine Conservation Collaborative,29,4
"1,440.30","1,440.30",mailto:mainewetlands@mac.com,750,Southern Maine Wetlands Conservancy,29,4
"1,440.30","1,440.30",http://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/maine/index.htm,750,The Nature Conservancy in Maine,29,4
"1,440.30","1,440.30",mailto:naturetrust@ntnb.org,750,The Nature Trust of New Brunswick,29,4
"1,440.30","1,440.30",http://www.tpl.org/maine,750,The Trust for Public Land,29,4
"1,440.30","1,440.30",http://www.3rlt.org,750,Three Rivers Land Trust,29,4
"1,440.30","1,440.30",http://www.usvlt.org,750,Upper Saco Valley Land Trust,29,4
"1,440.30","1,440.30",mailto:davidsoucy@mac.com,750,Upper St. John Land Trust,29,4
"1,440.30","1,440.30",http://www.vinalhavenlandtrust.org,750,Vinalhaven Land Trust,29,4
"1,440.30","1,440.30",http://www.wellsreserve.org,750,Wells National Estuarine Research Reserve & Laudholm Trust,29,4
"1,440.30","1,440.30",http://www.wfltmaine.org,750,Western Foothills Land Trust,29,4
"1,440.30","1,440.30",http://www.woodiewheaton.org/,750,Woodie Wheaton Land Trust,29,4
"1,440.30","1,440.30",http://www.yorklandtrust.org,750,"York Land Trust, Inc.",29,4
