"Site Name","Site Number","Address","Town","Description","Summary","Closed","Latitude","Longitude"
"FRYEBURG LANDFILL",29512,"RTE 5","FRYEBURG","10 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 10 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",43.97657,-70.95702
"GLENBURN LANDFILL",27545,"HUDSON RD RTE 221","GLENBURN","2 ACRE LANDFILL CLOSED IN 1991 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","CLOSED IN 1991 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.   THE LANDFILL CLOSURE USED THE REGULATION CLOSURE PROCEDURE.  THIS GENERALLY CONSISTED OF AN ENVIRONMENTAL ASSESSMENT, A CLAY OR COMPOSITE COVER SYSTEM, AND WATER QUALITY MONITORING.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH MEDEP FILE ROOM.","POST-1976",44.94516,-68.84681
"COPLIN PLANTATION DUMP_IN QUESTION",29347,"RTE 4","WYMAN TWP","CLOSED OR NEVER EXISTED. LOCATION ARBITRARILY PLACED. IN 1972-TWO INDIVIDUALS WERE  INTERESTED IN LICENSING WASTE DUMP WOOD AND GRAVEL ONLY - NO FURTHER INFO ON THIS.  LETTER FROM TOWN SELECTMAN IN 1998 STATED THAT TOWN HAD ALWAYS ONLY USED THE EUSTIS DUMP AND LATER THE TRANSFER STATION IN EUSTIS.","CLOSED OR NEVER EXISTED. LOCATION ARBITRARILY PLACED.IN 1972-TWO INDIVIDUALS WERE INTERESTED IN LICENSING WASTE DUMP WOOD AND GRAVEL ONLY - NO FURTHER INFO ON THIS.  LETTER FROM TOWN SELECTMAN IN 1998 STATED THAT TOWN HAD ALWAYS ONLY USED THE EUSTIS DUMP AND LATER THE TRANSFER STATION IN EUSTIS..","PRE-1976",45.11971,-70.34821
"ST AGATHA LANDFILL",29881,"MARQUIS RD","ST AGATHA","2 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",47.23753,-68.3837
"OLD ORCHARD BEACH OLD DUMP SITE",79846,"WALNUT AND MILLIKEN ST","OLD ORCHARD BEACH","","INACTIVE AND RESTRICTED. ADJACENT TO TOWN PARKING LOT NEAR BEACHES. SIGNS RESRTICT ENTRY; FEW PIECES OF TIRES AND METALS THROUGH GRASS COVERED WASTE AREA. NO HIGH RISKS OBSERVED; PUBLIC WATER IN VICINITY.","PRE-1976",43.52129,-70.37277
"WATERVILLE LANDFILL",27715,"WEBB RD","WATERVILLE","56 ACRE LANDFILL CLOSED IN 1998 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1998 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 56 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAIABLE THROUGH THE MEDEP FILE ROOM.   NOTES:  CLOSED LANDFILL WITH ACTIVE DEMOLITION DISPOSAL. (1990) GROUNDWATER SAMPLING QUARTERLY. OLD MUNICIPAL LANDFILL AND TEMPORARY TRANSFER STATION (MUNICIPAL).  LANDFILL LEACHATE IS CONTAMINATING GROUND WATER, AND DISCHARGING POLLUTANT TO SURFACE WATER.","POST-1976",44.52166,-69.70389
"CHARLOTTE LANDFILL",29686,"OFF RTE 214 SMITH RIDGE RD","CHARLOTTE","0.5 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 0.5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",45.00089,-67.28527
"NORTHPORT LANDFILL",29408,"NEBRASKA RD","NORTHPORT","3 ACRE LANDFILL CLOSED IN 2001 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED A REDUCED PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 2001 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 3 ACRE LANDFILL. NOTES:  DUMP LOCATED WITHIN 300' OF WATERWAY.  300' VARIANCE DENIED IN 74 1989. TOWN HAS HAD NUMEROUS VIOLATIONS OF BURNING WASTE MATERIAL  OLD SITE IS ON IMPROPERLY CLOSED LANDFILL LIST.  THE HAYARD RATING IS 40 WHICH PUTS THE OLD SITE IN THE TOP 1/3 OF THAT LIST.  3/4 MILE TO NEAREST RESIDENCE","POST-1976",44.32867,-68.97773
"SINCLAIR LANDFILL",29878,"HEBERT RD","T17 R04 WELS","2 ACRE LANDFILL CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1993 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 2 ACRE LANDFILL.  THE LANDFILL CLOSURE USED THE INTERIM COVER AND GRADING (ICAG) PROCEDURE.  THIS GENERALLY CONSISTED OF REGRADING WASTE AND CAPPING WITH 6 INCHES TOPSOIL OVER 18 INCHES 10E-6 CM/S GLACIAL TILL OVER 6 INCHES OF BURROW.  SPECIFIC DETAILS FOR CLOSURE OF THIS LANDFILL ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",47.19362,-68.24743
"WOOLWICH LANDFILL",27639,"RTE 127 MIDDLE RD","WOOLWICH","5 ACRE LANDFILL CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","CLOSED IN 1995 AS REQUIRED BY THE MEDEP LANDFILL CLOSURE AND REMEDIATION PROGRAM. 5 ACRE LANDFILL.  THE LANDFILL CLOSURE USED AN ALTERNATIVE PROCEDURE AS IT WAS NOT AUTOMATICALLY ELIGIBLE FOR A REDUCED PROCEDURE CLOSURE.  THIS INCLUDED AN ENVIRONMENTAL ASSESSMENT AND POSSIBLE IMPROVED COVER SYSTEM AND/OR WATER QUALITY MONITORING.  SPECIFIC DETAILS OF CLOSURE ARE AVAILABLE THROUGH THE MEDEP FILE ROOM.","POST-1976",43.93235,-69.80223
